1;'Sistema de acceso a la información con intención maliciosa'
2;'Error de aplicación'
3;'Ataque a través de equipo/servicio externalizado (comprometiendo la cadena de suministro)'
4;'Incumplimiento de contratos o acuerdos'
5;'Incumplimiento de leyes o reglamentos'
6;'Ruptura de los enlaces de comunicación'
7;'Ocultación de la identidad del usuario'
8;'Robo de datos / información'
9;'Ataque de denegación de servicio'
10;'Terremoto'
11;'Escuchar a escondidas.'
12;'Fallo del equipo'
13;'Manipulación de equipos'
14;'Errores o interrupciones del servicio de proveedores externos'
15;'Incendio'
16;'Inundación'
17;'Uso inadecuado de sistemas o información informática'
18;'Manejo inapropiado de la información de autenticación (por ejemplo, contraseñas)'
19;'Accidente industrial'
20;'Espionaje industrial'
21;'Infección por software malicioso (por ejemplo, virus, troyano, etc.)'
22;'Instalación de software con intención maliciosa'
23;'Interrupción de los servicios de comunicación'
24;'Rayo'
25;'Errores de mantenimiento'
26;'Divulgación maliciosa de contraseñas'
27;'Filtración/divulgación maliciosa de información'
28;'Error malicioso del usuario'
29;'Manipulación o destrucción de equipos'
30;'Uso indebido de herramientas de auditoría'
31;'Otros desastres (naturales)'
32;'Tormenta'
33;'Atentado terrorista (bomba, tiroteo, etc.)'
34;'Robo, vandalismo o sabotaje'
35;'Acceso no autorizado a equipos, armarios, etc.'
36;'Entrada no autorizada en instalaciones, habitaciones u oficinas'
37;'Uso, manipulación o destrucción no autorizada de software'
38;'Acceso no intencionado a sistemas de información'
39;'Acceso no intencionado a datos físicos'
40;'Cambio no intencionado de datos en un sistema de información'
41;'Daños no intencionados sufridos durante las pruebas de penetración'
42;'Divulgación no intencionada de datos / información'
43;'Instalación no intencionada de software'
44;'Uso no intencionado de materiales licenciados'
45;'Uso no intencionado de código no probado o prohibido'
46;'Error no intencionado del usuario'
47;'Uso de materiales licenciados con intención maliciosa'
48;'Uso de código no autorizado o no probado con intención maliciosa'
